;****************************************
;Log File Started 15:00:08 Mon Jan 21 2008
Flac3D>pr gp pos
Gridpoint Position ...
   id          X             Y             Z
 ------  ------------- ------------- -------------
    114 (  1.1629e+000,  0.0000e+000, -5.8047e-001)
    115 (  1.5150e+000, -1.0000e-002, -7.5750e-001)
    116 (  1.5150e+000,  0.0000e+000, -7.5750e-001)
    117 (  2.7801e-001, -1.0000e-002, -2.7801e-001)
    118 (  2.7801e-001,  0.0000e+000, -2.7801e-001)
    119 (  5.4455e-001, -1.0000e-002, -5.4455e-001)
    120 (  5.4455e-001,  0.0000e+000, -5.4455e-001)
    121 (  8.3774e-001, -1.0000e-002, -8.3774e-001)
    122 (  8.3774e-001,  0.0000e+000, -8.3774e-001)
    123 (  1.1602e+000, -1.0000e-002, -1.1602e+000)
    124 (  1.1602e+000,  0.0000e+000, -1.1602e+000)
    125 (  1.5150e+000, -1.0000e-002, -1.5150e+000)
    126 (  1.5150e+000,  0.0000e+000, -1.5150e+000)
    127 (  1.4024e-001, -1.0000e-002, -2.8717e-001)
    128 (  1.4024e-001,  0.0000e+000, -2.8717e-001)
    129 (  2.7324e-001, -1.0000e-002, -5.5173e-001)
    130 (  2.7324e-001,  0.0000e+000, -5.5173e-001)
    131 (  4.1954e-001, -1.0000e-002, -8.4275e-001)
    132 (  4.1954e-001,  0.0000e+000, -8.4275e-001)
    133 (  5.8047e-001, -1.0000e-002, -1.1629e+000)
    134 (  5.8047e-001,  0.0000e+000, -1.1629e+000)
    135 (  7.5750e-001, -1.0000e-002, -1.5150e+000)
    136 (  7.5750e-001,  0.0000e+000, -1.5150e+000)
    137 (  2.5856e-018, -1.0000e-002, -2.9038e-001)
    138 (  2.5856e-018,  0.0000e+000, -2.9038e-001)
    139 (  2.0285e-018, -1.0000e-002, -5.5425e-001)
    140 (  2.0285e-018,  0.0000e+000, -5.5425e-001)
    141 (  1.4157e-018, -1.0000e-002, -8.4451e-001)
    142 (  1.4157e-018,  0.0000e+000, -8.4451e-001)
    143 (  7.4154e-019, -1.0000e-002, -1.1638e+000)
    144 (  7.4154e-019,  0.0000e+000, -1.1638e+000)
    145 (  0.0000e+000, -1.0000e-002, -1.5150e+000)
    146 (  0.0000e+000,  0.0000e+000, -1.5150e+000)
    147 ( -1.6833e-002, -1.0000e-002, -2.0614e-018)
    148 ( -1.6833e-002, -2.0614e-018, -2.0614e-018)
    149 ( -1.5552e-002, -1.0000e-002,  6.4418e-003)
    150 ( -1.5552e-002, -1.9045e-018,  6.4418e-003)
    151 ( -3.3667e-002, -1.0000e-002, -4.1228e-018)
    152 ( -3.3667e-002, -4.1228e-018, -4.1228e-018)
    153 ( -3.1104e-002, -1.0000e-002,  1.2884e-002)
    154 ( -3.1104e-002, -3.8090e-018,  1.2884e-002)
    155 ( -5.0500e-002, -1.0000e-002, -6.1843e-018)
    156 ( -5.0500e-002, -6.1843e-018, -6.1843e-018)
    157 ( -4.6656e-002, -1.0000e-002,  1.9326e-002)
    158 ( -4.6656e-002, -5.7135e-018,  1.9326e-002)
    159 ( -1.1903e-002, -1.0000e-002,  1.1903e-002)
