                  Ca	                  Na	                  Cl	                C(4)	                  pH	                  H+	                  pe	             Calcite	
  3.121681675770e-03	  9.999409553136e-04	  9.999409553135e-04	  1.003062636989e+00	  4.106501369573e+00	  8.571722955179e-05	  1.421402156372e+01	  0.000000000000e+00	
  6.872871769008e-03	  9.998700038469e-04	  9.998700038467e-04	  1.006742875615e+00	  4.421803562318e+00	  4.260269628486e-05	  1.382473754862e+01	  0.000000000000e+00	
  6.872871769008e-03	  9.998700038469e-04	  9.998700038467e-04	  1.006742875615e+00	  4.421803562318e+00	  4.260269628486e-05	  1.382345265229e+01	  0.000000000000e+00	
  1.509095985541e-02	  9.997145637155e-04	  9.997145637151e-04	  1.014805523570e+00	  4.731643464513e+00	  2.154399128560e-05	  2.404246176645e-01	  0.000000000000e+00	
  1.509095985542e-02	  9.997145637158e-04	  9.997145637154e-04	  1.014805523570e+00	  4.731643464512e+00	  2.154399128564e-05	  2.465043075460e-01	  0.000000000000e+00	
  1.787328052677e-02	  9.996619218807e-04	  9.996619218807e-04	  1.017535202406e+00	  4.797459222703e+00	  1.864873594023e-05	 -5.198164565259e-01	  0.000000000000e+00	
  3.761687451110e-02	  1.000017139687e-03	  1.000017139687e-03	  1.037634014197e+00	  5.083647989954e+00	  9.968070609377e-06	 -5.454742961212e-01	  6.355994174250e+00	
  3.037816890239e-02	  9.994254058468e-04	  9.994254058463e-04	  1.029803574747e+00	  5.002066056777e+00	  1.191521964537e-05	 -3.359118071036e-01	  0.000000000000e+00	
  3.760919901980e-02	  9.995554559092e-04	  9.995554559087e-04	  1.037164654926e+00	  5.083775005063e+00	  9.965063678576e-06	 -3.376629009703e-01	  1.061860701610e+01	
  3.483848889699e-02	  9.993410161613e-04	  9.993410161611e-04	  1.034179505056e+00	  5.054589996967e+00	  1.062185977634e-05	 -2.472593120990e-01	  0.000000000000e+00	
  3.760646097670e-02	  9.993907902055e-04	  9.993907902053e-04	  1.036997251179e+00	  5.083820321375e+00	  9.963991089022e-06	 -2.583220460416e-01	  1.235108351320e+01	
  3.652899718085e-02	  9.993090269605e-04	  9.993090269604e-04	  1.035838024139e+00	  5.072736741806e+00	  1.020847152831e-05	 -2.198844799148e-01	  0.000000000000e+00	
  3.760542319764e-02	  9.993283821890e-04	  9.993283821889e-04	  1.036933805384e+00	  5.083837498195e+00	  9.963584561929e-06	 -2.308081742205e-01	  1.304081087251e+01	
  3.718389644606e-02	  9.992966337252e-04	  9.992966337251e-04	  1.036480530168e+00	  5.079539903867e+00	  1.005767394190e-05	  1.292255205948e+01	  0.000000000000e+00	
  3.760502116008e-02	  9.993042057885e-04	  9.993042057884e-04	  1.036909226945e+00	  5.083844152666e+00	  9.963427073771e-06	  1.285039865463e+01	  1.331331500245e+01	
  3.743972578197e-02	  9.992917923524e-04	  9.992917923523e-04	  1.036731518130e+00	  5.082164720757e+00	  1.000008993132e-05	  1.321544158093e+01	  0.000000000000e+00	
  3.760486410810e-02	  9.992947616055e-04	  9.992947616054e-04	  1.036899625710e+00	  5.083846752190e+00	  9.963365552767e-06	  1.320954962135e+01	  1.342075766492e+01	
  3.753998667446e-02	  9.992898949938e-04	  9.992898949937e-04	  1.036829881665e+00	  5.083188472489e+00	  9.977720006697e-06	 -1.207582531097e-01	  0.000000000000e+00	
  3.760480255878e-02	  9.992910604049e-04	  9.992910604048e-04	  1.036895862960e+00	  5.083847770957e+00	  9.963341442461e-06	 -1.445756725668e-01	  1.346320298377e+01	
  3.757932922689e-02	  9.992891504829e-04	  9.992891504828e-04	  1.036868479704e+00	  5.083589441795e+00	  9.968972094444e-06	 -5.672375991044e-02	  0.000000000000e+00	
  3.760477840698e-02	  9.992896080669e-04	  9.992896080668e-04	  1.036894386469e+00	  5.083848170719e+00	  9.963331981643e-06	 -7.360076110979e-02	  1.348011466669e+01	
  3.759477441508e-02	  9.992888582170e-04	  9.992888582169e-04	  1.036883632627e+00	  5.083746739584e+00	  9.965542436443e-06	 -1.815643071511e-01	  0.000000000000e+00	
