                C(4)	                  Ca	                  Mg	                  Cl	                  pH	                  H+	                  pe	             Calcite	               CO3-2	               HCO3-	             a_HCO3-	
  9.345710142569e-05	  2.412440230265e-04	  2.555607973135e-04	  8.066953480908e-04	  9.759652301683e+00	  1.811045172302e-10	 -4.749068344262e+00	  8.531696186761e-05	  1.973543982024e-05	  6.448557720565e-05	  6.182068694874e-05	
  9.157963036874e-05	  2.327203277910e-04	  2.242169381325e-04	  7.307151891010e-04	  9.758451665571e+00	  1.813377696935e-10	 -4.947848288082e+00	  0.000000000000e+00	  1.934453832792e-05	  6.368887595905e-05	  6.115487526640e-05	
  9.373871136941e-05	  2.348794116691e-04	  2.242169427035e-04	  7.307152039978e-04	  9.766041022292e+00	  1.782102736313e-10	 -4.944476792937e+00	  9.947223112435e-05	  2.003843199316e-05	  6.481412255620e-05	  6.223009981652e-05	
  9.331625804567e-05	  2.241567519896e-04	  1.978270550458e-04	  6.573350235048e-04	  9.769732501324e+00	  1.764470634859e-10	 -4.923912288604e+00	  0.000000000000e+00	  2.011561315605e-05	  6.481601612378e-05	  6.232917727842e-05	
  9.487299532656e-05	  2.257134911895e-04	  1.978270579472e-04	  6.573350331455e-04	  9.775109458105e+00	  1.742863150444e-10	 -4.946031562569e+00	  1.098827220287e-04	  2.062461977257e-05	  6.562576793834e-05	  6.310380896944e-05	
  9.565059696507e-05	  2.138306308421e-04	  1.753984263296e-04	  5.871568532159e-04	  9.782683218633e+00	  1.710337035538e-10	 -4.590733747840e+00	  0.000000000000e+00	  2.110176239637e-05	  6.628278774036e-05	  6.383189312523e-05	
  9.667307321315e-05	  2.148531082237e-04	  1.753984280119e-04	  5.871568588476e-04	  9.786128258535e+00	  1.696893558816e-10	 -4.601120423282e+00	  1.170891519578e-04	  2.144265847525e-05	  6.681248708213e-05	  6.433914253237e-05	
  9.843930637232e-05	  2.027895364544e-04	  1.559970852724e-04	  5.206945704769e-04	  9.796685104147e+00	  1.653916469167e-10	 -5.028153267880e+00	  0.000000000000e+00	  2.226394903298e-05	  6.800015982364e-05	  6.557768582616e-05	
  9.895332613294e-05	  2.033035567152e-04	  1.559970860202e-04	  5.206945729729e-04	  9.798366083164e+00	  1.647563396898e-10	 -5.032627929885e+00	  1.214463148319e-04	  2.243891191653e-05	  6.826495251997e-05	  6.583149133477e-05	
  1.015328340791e-04	  1.920015379048e-04	  1.387132103898e-04	  4.583637748033e-04	  9.811145025568e+00	  1.597745236432e-10	 -4.898259555835e+00	  0.000000000000e+00	  2.355687488250e-05	  6.987525634657e-05	  6.747696535567e-05	
  1.014969631244e-04	  1.919656669201e-04	  1.387132103437e-04	  4.583637746510e-04	  9.811031467479e+00	  1.598160474454e-10	 -4.905441256738e+00	  1.230416446605e-04	  2.354440671105e-05	  6.985690031490e-05	  6.745935652058e-05	
  1.040322021756e-04	  1.817808067120e-04	  1.224893486957e-04	  4.004758590407e-04	  9.823246406386e+00	  1.551916542333e-10	 -4.972418296149e+00	  0.000000000000e+00	  2.466404875427e-05	  7.143241614897e-05	  6.907215501510e-05	
