                C(4)	                  Ca	                  Mg	                  Cl	                  pH	                  H+	                  pe	             Calcite	       Dolomite(dis)	
  1.256256734731e-04	  1.257680808813e-04	  6.229946485241e-05	  1.248836352703e-04	  9.904194270078e+00	  1.280001079972e-10	  8.456236158471e+00	  1.219599457014e-04	  0.000000000000e+00	
  1.251273221519e-04	  1.252367010917e-04	  5.105695755571e-05	  1.023325793443e-04	  9.905181896452e+00	  1.276149807215e-10	 -5.227378218847e+00	  0.000000000000e+00	  0.000000000000e+00	
  1.251294038190e-04	  1.252387827588e-04	  5.105695755664e-05	  1.023325793462e-04	  9.905187036921e+00	  1.276134880369e-10	 -5.209877350678e+00	  1.219708561615e-04	  0.000000000000e+00	
  1.246970653075e-04	  1.247804678656e-04	  4.149115997993e-05	  8.314904553818e-05	  9.906029033345e+00	  1.272835203414e-10	 -5.081506036147e+00	  0.000000000000e+00	  0.000000000000e+00	
  1.246986742733e-04	  1.247820768314e-04	  4.149115998051e-05	  8.314904553935e-05	  9.906033019755e+00	  1.272823662107e-10	 -5.093654217113e+00	  1.219793262842e-04	  0.000000000000e+00	
  1.243280258219e-04	  1.243911550890e-04	  3.343126660337e-05	  6.698872479929e-05	  9.906743484001e+00	  1.270026121392e-10	  8.330661161137e+00	  0.000000000000e+00	  0.000000000000e+00	
  1.243292353377e-04	  1.243923646048e-04	  3.343126660372e-05	  6.698872480000e-05	  9.906746489224e+00	  1.270017442948e-10	  8.342592166843e+00	  1.219857268996e-04	  0.000000000000e+00	
  1.240152186112e-04	  1.240626480950e-04	  2.670636692429e-05	  5.350753698147e-05	  9.907339851951e+00	  1.267670503405e-10	 -5.099229182187e+00	  0.000000000000e+00	  0.000000000000e+00	
  1.240161027978e-04	  1.240635322816e-04	  2.670636692450e-05	  5.350753698189e-05	  9.907342054092e+00	  1.267664157829e-10	 -5.096109903350e+00	  1.219904331792e-04	  0.000000000000e+00	
  1.237531852099e-04	  1.237885518254e-04	  2.115003217905e-05	  4.237075142924e-05	  9.907832594874e+00	  1.265715918656e-10	 -5.121428744007e+00	  0.000000000000e+00	  0.000000000000e+00	
  1.237538138510e-04	  1.237891804665e-04	  2.115003217917e-05	  4.237075142947e-05	  9.907834163669e+00	  1.265711406278e-10	 -5.126416234382e+00	  1.219938000114e-04	  0.000000000000e+00	
  1.235362402950e-04	  1.235624117845e-04	  1.660398285510e-05	  3.326027085654e-05	  9.908235616890e+00	  1.264111101186e-10	  8.448463568190e+00	  0.000000000000e+00	  0.000000000000e+00	
  1.235366751564e-04	  1.235628466459e-04	  1.660398285516e-05	  3.326027085667e-05	  9.908236703877e+00	  1.264107979336e-10	  8.447780231620e+00	  1.219961438798e-04	  0.000000000000e+00	
  1.233586952035e-04	  1.233779135662e-04	  1.292083190890e-05	  2.588006979368e-05	  9.908561959063e+00	  1.262807217096e-10	 -5.163674507954e+00	  0.000000000000e+00	  0.000000000000e+00	
  1.233589880446e-04	  1.233782064073e-04	  1.292083190893e-05	  2.588006979375e-05	  9.908562692029e+00	  1.262805114586e-10	 -5.148264878125e+00	  1.219977323864e-04	  0.000000000000e+00	
  1.232150471401e-04	  1.232290501471e-04	  9.965947803098e-06	  1.995987682503e-05	  9.908823585516e+00	  1.261758831913e-10	 -5.120060105879e+00	  0.000000000000e+00	  0.000000000000e+00	
  1.232152392479e-04	  1.232292422549e-04	  9.965947803115e-06	  1.995987682506e-05	  9.908824066868e+00	  1.261757452529e-10	 -5.119176849645e+00	  1.219987810404e-04	  0.000000000000e+00	
  1.231001271837e-04	  1.231102501541e-04	  7.618519509301e-06	  1.525726511240e-05	  9.909031256476e+00	  1.260924573656e-10	 -5.350329463895e+00	  0.000000000000e+00	  0.000000000000e+00	
  1.231002500457e-04	  1.231103730160e-04	  7.618519509310e-06	  1.525726511242e-05	  9.909031564586e+00	  1.260923691423e-10	 -5.346139837320e+00	  1.219994558662e-04	  0.000000000000e+00	
  1.230092048229e-04	  1.230164649107e-04	  5.771931397750e-06	  1.155836718931e-05	  9.909194475589e+00	  1.260267509883e-10	 -4.887313779651e+00	  0.000000000000e+00	  0.000000000000e+00	
  1.230092814854e-04	  1.230165415732e-04	  5.771931397754e-06	  1.155836718932e-05	  9.909194667970e+00	  1.260266959369e-10	 -4.898895093275e+00	  1.219998794437e-04	  0.000000000000e+00	
  1.229380509146e-04	  1.229432161394e-04	  4.333570339851e-06	  8.677458649456e-06	  9.909321497085e+00	  1.259755274049e-10	 -5.330177999714e+00	  0.000000000000e+00	  0.000000000000e+00	
  1.229380976195e-04	  1.229432628443e-04	  4.333570339853e-06	  8.677458649460e-06	  9.909321614351e+00	  1.259754938649e-10	 -5.318721459547e+00	  1.220001389878e-04	  0.000000000000e+00	
  1.228829640693e-04	  1.228866092316e-04	  3.224191572077e-06	  6.455663641077e-06	  9.909419378309e+00	  1.259359986724e-10	 -5.234009565787e+00	  0.000000000000e+00	  0.000000000000e+00	
