                C(4)	                  Ca	                  Mg	                  Cl	                  pH	                  H+	                  pe	             Calcite	       Dolomite(dis)	
  1.001727745985e-04	  5.993459264844e-05	  9.925956876901e-04	  1.904671253597e-03	  9.703808126191e+00	  2.092212471861e-10	 -5.089875557865e+00	  0.000000000000e+00	  0.000000000000e+00	
  1.001642550286e-04	  5.993033286269e-05	  9.925914278304e-04	  1.904671253446e-03	  9.703780540695e+00	  2.092345027338e-10	 -5.090097078660e+00	  0.000000000000e+00	  6.832146911012e-05	
  9.922512945575e-05	  6.194521341594e-05	  9.785770191382e-04	  1.882541908527e-03	  9.702091262918e+00	  2.099926577871e-10	 -4.782814867934e+00	  0.000000000000e+00	  0.000000000000e+00	
  9.921329992427e-05	  6.193929864884e-05	  9.785711042698e-04	  1.882541908319e-03	  9.702052548824e+00	  2.100113297973e-10	 -4.748337063328e+00	  0.000000000000e+00	  6.812441971949e-05	
  9.813830258933e-05	  6.438447510951e-05	  9.621086005917e-04	  1.856647727371e-03	  9.700123141465e+00	  2.108786333467e-10	  8.444699852114e+00	  0.000000000000e+00	  0.000000000000e+00	
  9.812229534667e-05	  6.437647148588e-05	  9.621005968333e-04	  1.856647727092e-03	  9.700070102945e+00	  2.109043225221e-10	  8.424198335708e+00	  0.000000000000e+00	  6.797289473976e-05	
  9.691263941858e-05	  6.732262580549e-05	  9.429601094511e-04	  1.826667913207e-03	  9.697912152808e+00	  2.118754341061e-10	 -5.124506508233e+00	  0.000000000000e+00	  0.000000000000e+00	
  9.689153560814e-05	  6.731207389651e-05	  9.429495573680e-04	  1.826667912844e-03	  9.697841233480e+00	  2.119099469966e-10	 -5.124570046193e+00	  0.000000000000e+00	  6.793552696082e-05	
  9.555438715808e-05	  7.083705867570e-05	  9.209195968577e-04	  1.792320941345e-03	  9.695482991612e+00	  2.129714440294e-10	  8.622181164884e+00	  0.000000000000e+00	  0.000000000000e+00	
  9.552727967824e-05	  7.082350492985e-05	  9.209060428935e-04	  1.792320940885e-03	  9.695390442734e+00	  2.130167171098e-10	  8.621752366837e+00	  0.000000000000e+00	  6.767347101842e-05	
  9.407636632705e-05	  7.501208497843e-05	  8.958016584083e-04	  1.753379106096e-03	  9.692879778378e+00	  2.141454148498e-10	  8.396738543288e+00	  0.000000000000e+00	  0.000000000000e+00	
  9.404243235028e-05	  7.499511798099e-05	  8.957846911454e-04	  1.753379105529e-03	  9.692761880530e+00	  2.142034077369e-10	  8.374196155539e+00	  0.000000000000e+00	  6.757015056489e-05	
  9.249823499696e-05	  7.993846226252e-05	  8.674552949448e-04	  1.709682770822e-03	  9.690168544468e+00	  2.153649335573e-10	  8.598167156599e+00	  0.000000000000e+00	  0.000000000000e+00	
  9.245680282004e-05	  7.991774616066e-05	  8.674345785300e-04	  1.709682770143e-03	  9.690021843378e+00	  2.154375076515e-10	  8.599044977999e+00	  0.000000000000e+00	  6.739325665008e-05	
  9.084630868715e-05	  8.571269851701e-05	  8.357710176303e-04	  1.661153545020e-03	  9.687438855098e+00	  2.165852626730e-10	  8.548846087162e+00	  0.000000000000e+00	  0.000000000000e+00	
  9.079689916679e-05	  8.568799373758e-05	  8.357463124930e-04	  1.661153544227e-03	  9.687260349947e+00	  2.166740735457e-10	  8.553447007929e+00	  0.000000000000e+00	  6.711070443705e-05	
  8.915299742873e-05	  9.243619321380e-05	  8.006867962957e-04	  1.607805585115e-03	  9.684804544596e+00	  2.177486384768e-10	 -4.880875840112e+00	  0.000000000000e+00	  0.000000000000e+00	
  8.909531974759e-05	  9.240735434637e-05	  8.006579570312e-04	  1.607805584213e-03	  9.684591752302e+00	  2.178550797776e-10	 -4.861895623117e+00	  0.000000000000e+00	  6.699414203336e-05	
  8.745603051795e-05	  1.002143015440e-04	  7.621925471097e-04	  1.549754242580e-03	  9.682403823135e+00	  2.187840016200e-10	 -5.115071994522e+00	  0.000000000000e+00	  0.000000000000e+00	
  8.738991753659e-05	  1.001812450167e-04	  7.621594901540e-04	  1.549754241577e-03	  9.682154646083e+00	  2.189092387435e-10	 -5.120145293768e+00	  0.000000000000e+00	  6.663220198719e-05	
  8.579763124455e-05	  1.091560241060e-04	  7.203322736865e-04	  1.487221367729e-03	  9.680398968758e+00	  2.196071807034e-10	 -4.900193230799e+00	  0.000000000000e+00	  0.000000000000e+00	
  8.572288550690e-05	  1.091186511883e-04	  7.202949003186e-04	  1.487221366633e-03	  9.680111224538e+00	  2.197523486892e-10	 -4.893180827238e+00	  0.000000000000e+00	  6.649023039269e-05	
  8.422421348057e-05	  1.193735370423e-04	  6.752049431097e-04	  1.420536718637e-03	  9.678977333803e+00	  2.201208023172e-10	 -4.984777900153e+00	  0.000000000000e+00	  0.000000000000e+00	
  8.414038539435e-05	  1.193316229349e-04	  6.751630285402e-04	  1.420536717456e-03	  9.678647988286e+00	  2.202873489551e-10	 -4.985729543973e+00	  0.000000000000e+00	  6.608913212156e-05	
  8.278724499947e-05	  1.309795554953e-04	  6.269665689956e-04	  1.350135115949e-03	  9.678355867289e+00	  2.202129718235e-10	 -5.004039214242e+00	  0.000000000000e+00	  0.000000000000e+00	
  8.269337873250e-05	  1.309326222778e-04	  6.269196353138e-04	  1.350135114685e-03	  9.677980095652e+00	  2.204030762141e-10	 -5.006328702066e+00	  0.000000000000e+00	  6.589419238206e-05	
