                C(4)	                  Ca	                  Mg	                  Cl	                  pH	                  H+	                  pe	             Calcite	               CO3-2	
  5.121054854442e-06	  4.868771725881e-06	  9.957072188143e-04	  1.990909613743e-03	  8.562493337496e+00	  2.894319532671e-09	 -4.922485227103e+00	  0.000000000000e+00	  9.979767656972e-08	
  7.202890706041e-06	  6.933121172091e-06	  9.940914013226e-04	  1.987643009389e-03	  8.704765798251e+00	  2.085812796721e-09	 -5.068451296465e+00	  0.000000000000e+00	  1.927446403099e-07	
  7.202890242607e-06	  6.933121172091e-06	  9.940914013226e-04	  1.987643009389e-03	  8.704765827088e+00	  2.085812658222e-09	 -5.057469017373e+00	  0.000000000000e+00	  1.927446402086e-07	
  1.010834049301e-05	  9.829695421481e-06	  9.919839061532e-04	  1.983410271976e-03	  8.844584431320e+00	  1.511681214473e-09	  9.446850271252e+00	  0.000000000000e+00	  3.676385737509e-07	
  1.010834049301e-05	  9.829695421481e-06	  9.919839061532e-04	  1.983410271976e-03	  8.844584431320e+00	  1.511681214473e-09	  9.447171452505e+00	  0.000000000000e+00	  3.676385737509e-07	
  1.416205504528e-05	  1.388492369666e-05	  9.892732605977e-04	  1.977992013299e-03	  8.981628813182e+00	  1.102613395660e-09	 -5.339774736043e+00	  0.000000000000e+00	  6.917186546360e-07	
  1.416205461997e-05	  1.388492369666e-05	  9.892732605977e-04	  1.977992013299e-03	  8.981628827252e+00	  1.102613359937e-09	 -5.329524944432e+00	  0.000000000000e+00	  6.917186545610e-07	
  1.981976003513e-05	  1.955742758411e-05	  9.858315430340e-04	  1.971138181449e-03	  9.115547582573e+00	  8.100624551710e-10	 -5.163123183450e+00	  0.000000000000e+00	  1.282000237360e-06	
  1.981976003345e-05	  1.955742758411e-05	  9.858315430340e-04	  1.971138181449e-03	  9.115547582614e+00	  8.100624550946e-10	 -5.163040911894e+00	  0.000000000000e+00	  1.282000237360e-06	
  2.770626457383e-05	  2.747649189665e-05	  9.815143087187e-04	  1.962568838393e-03	  9.245728764503e+00	  6.002910310523e-10	 -4.965670021731e+00	  0.000000000000e+00	  2.334117677026e-06	
  2.770626457383e-05	  2.747649189665e-05	  9.815143087187e-04	  1.962568838393e-03	  9.245728764503e+00	  6.002910310522e-10	 -4.964714659668e+00	  0.000000000000e+00	  2.334117677026e-06	
  3.859964912573e-05	  3.842671369321e-05	  9.761612806223e-04	  1.951976462412e-03	  9.370780435496e+00	  4.501427517031e-10	 -5.237533575700e+00	  0.000000000000e+00	  4.148357419806e-06	
  3.859964912567e-05	  3.842671369321e-05	  9.761612806223e-04	  1.951976462412e-03	  9.370780435497e+00	  4.501427517023e-10	 -5.238246036427e+00	  0.000000000000e+00	  4.148357419806e-06	
  5.342501293964e-05	  5.334204951296e-05	  9.695980762978e-04	  1.939030003219e-03	  9.489201688026e+00	  3.427603349049e-10	 -5.076271564430e+00	  0.000000000000e+00	  7.147588546940e-06	
  5.342501293964e-05	  5.334204951296e-05	  9.695980762978e-04	  1.939030003219e-03	  9.489201688026e+00	  3.427603349049e-10	 -5.075418106509e+00	  0.000000000000e+00	  7.147588546940e-06	
  7.385991838198e-05	  7.391115653752e-05	  9.616393012793e-04	  1.923380861561e-03	  9.602721041008e+00	  2.639769335534e-10	  8.427619934816e+00	  0.000000000000e+00	  1.203487253165e-05	
  7.385991838198e-05	  7.391115653752e-05	  9.616393012793e-04	  1.923380861561e-03	  9.602721041008e+00	  2.639769335534e-10	  8.411979628961e+00	  0.000000000000e+00	  1.203487253165e-05	
  1.052232178567e-04	  1.054640264801e-04	  9.520947430891e-04	  1.904670891157e-03	  9.721224755628e+00	  2.010161559144e-10	 -5.265487483925e+00	  0.000000000000e+00	  2.072653128980e-05	
  1.052232178567e-04	  1.054640264801e-04	  9.520947430891e-04	  1.904670891157e-03	  9.721224755628e+00	  2.010161559144e-10	 -5.266195492935e+00	  0.000000000000e+00	  2.072653128980e-05	
  1.363110351373e-04	  1.367936325504e-04	  9.407885118140e-04	  1.882542011117e-03	  9.804516667774e+00	  1.659908438744e-10	  8.218713351320e+00	  0.000000000000e+00	  3.033306196468e-05	
