                C(4)	                  Ca	                  Mg	                  Cl	                  pH	                  H+	                  pe	             Calcite	       Dolomite(dis)	
  9.548194188824e-05	  7.112088036009e-05	  9.205218121017e-04	  1.792320940710e-03	  9.694835421110e+00	  2.132887782586e-10	 -4.966109197294e+00	  0.000000000000e+00	  6.820345944448e-05	
  9.545468715231e-05	  7.110725298601e-05	  9.205081845082e-04	  1.792320940247e-03	  9.694742185043e+00	  2.133344557164e-10	 -5.003896626949e+00	  0.000000000000e+00	  6.703659573268e-05	
  9.399537001939e-05	  7.536568225047e-05	  8.953195446939e-04	  1.753379105256e-03	  9.692135118695e+00	  2.145123799885e-10	 -4.875314403050e+00	  0.000000000000e+00	  6.703659573268e-05	
  9.395913083433e-05	  7.534756264813e-05	  8.953014248082e-04	  1.753379104650e-03	  9.692008923509e+00	  2.145745615763e-10	 -4.906406430573e+00	  0.000000000000e+00	  6.845558083210e-05	
  9.240858515238e-05	  8.037512060944e-05	  8.668751788541e-04	  1.709682769743e-03	  9.689320202970e+00	  2.157854236877e-10	  8.604455647434e+00	  0.000000000000e+00	  6.845558083210e-05	
  9.236333011454e-05	  8.035249307567e-05	  8.668525509787e-04	  1.709682769000e-03	  9.689159547296e+00	  2.158650581810e-10	  8.622333673315e+00	  0.000000000000e+00	  6.657415947876e-05	
  9.074728982615e-05	  8.624696214473e-05	  8.350774547089e-04	  1.661153543652e-03	  9.686478752587e+00	  2.170639035718e-10	 -4.881807450271e+00	  0.000000000000e+00	  6.657415947876e-05	
  9.069490261148e-05	  8.622076851671e-05	  8.350512607018e-04	  1.661153542811e-03	  9.686288931667e+00	  2.171585549563e-10	 -4.946870868216e+00	  0.000000000000e+00	  6.737544955050e-05	
  8.904379707459e-05	  9.308417622376e-05	  7.998627936109e-04	  1.607805583395e-03	  9.683725239709e+00	  2.182896626287e-10	 -5.175424315947e+00	  0.000000000000e+00	  6.737544955050e-05	
  8.898484082440e-05	  9.305469807082e-05	  7.998333150526e-04	  1.607805582473e-03	  9.683507012009e+00	  2.183990955881e-10	 -5.169414082930e+00	  0.000000000000e+00	  6.657948862591e-05	
  8.734100207607e-05	  1.009963411347e-04	  7.612221876438e-04	  1.549754240525e-03	  9.681218831713e+00	  2.193808985123e-10	  8.558582129047e+00	  0.000000000000e+00	  6.657948862591e-05	
  8.727396188658e-05	  1.009628210023e-04	  7.611886670778e-04	  1.549754239507e-03	  9.680965245886e+00	  2.195087010247e-10	  8.558619726974e+00	  0.000000000000e+00	  6.694514085761e-05	
  8.567945159263e-05	  1.100928129658e-04	  7.191977519932e-04	  1.487221365316e-03	  9.679118512471e+00	  2.202546608463e-10	 -4.964857343526e+00	  0.000000000000e+00	  6.694514085761e-05	
  8.560358544102e-05	  1.100548798397e-04	  7.191598184113e-04	  1.487221364203e-03	  9.678825314966e+00	  2.204030185432e-10	 -4.960637245077e+00	  0.000000000000e+00	  6.607442964322e-05	
  8.410567620522e-05	  1.204875115231e-04	  6.738869758232e-04	  1.420536715837e-03	  9.677615405114e+00	  2.208111529913e-10	  8.698512757485e+00	  0.000000000000e+00	  6.607442964322e-05	
  8.402072189209e-05	  1.204450343004e-04	  6.738444981339e-04	  1.420536714639e-03	  9.677280251677e+00	  2.209811711138e-10	  8.697768127298e+00	  0.000000000000e+00	  6.635150123645e-05	
  8.267109708804e-05	  1.322998191527e-04	  6.254393076397e-04	  1.350135112726e-03	  9.676930293927e+00	  2.209359341895e-10	 -5.032199269048e+00	  0.000000000000e+00	  6.635150123645e-05	
  8.257591188159e-05	  1.322522264630e-04	  6.253917144815e-04	  1.350135111443e-03	  9.676547591573e+00	  2.211301842276e-10	 -5.046077030429e+00	  0.000000000000e+00	  6.558495993914e-05	
  8.143526971410e-05	  1.456395225508e-04	  5.740708428896e-04	  1.276549210539e-03	  9.677325764118e+00	  2.204955782679e-10	  8.599245825628e+00	  0.000000000000e+00	  6.558495993914e-05	
  8.132797638412e-05	  1.455858757729e-04	  5.740171956507e-04	  1.276549209165e-03	  9.676887255758e+00	  2.207177105603e-10	  8.605338045522e+00	  0.000000000000e+00	  6.551422741208e-05	
  8.046718881888e-05	  1.606352882553e-04	  5.200314092668e-04	  1.200398009362e-03	  9.679110879204e+00	  2.193383583929e-10	  8.420717349178e+00	  0.000000000000e+00	  6.551422741208e-05	
  8.034352518567e-05	  1.605734562889e-04	  5.199695768532e-04	  1.200398007868e-03	  9.678599008787e+00	  2.195962926520e-10	  8.411480987995e+00	  0.000000000000e+00	  6.522360916658e-05	
  7.984786018616e-05	  1.775144775260e-04	  4.635196403172e-04	  1.122371488166e-03	  9.682649626600e+00	  2.172948428718e-10	 -4.449632283261e+00	  0.000000000000e+00	  6.522360916658e-05	
  7.969953727510e-05	  1.774403158648e-04	  4.634454782286e-04	  1.122371486488e-03	  9.682030937263e+00	  2.176037037126e-10	 -4.217120592869e+00	  0.000000000000e+00	  6.416968975309e-05	
  7.970977187126e-05	  1.964231793064e-04	  4.048931033902e-04	  1.043211984135e-03	  9.688502253418e+00	  2.141157096205e-10	  8.629532893586e+00	  0.000000000000e+00	  6.416968975309e-05	
  7.951548252510e-05	  1.963260343271e-04	  4.047959580032e-04	  1.043211982095e-03	  9.687691221525e+00	  2.145146997629e-10	  8.637718714657e+00	  0.000000000000e+00	  6.464894764441e-05	
  8.018663466908e-05	  2.167436747482e-04	  3.452900533588e-04	  9.636931481879e-04	  9.697152358208e+00	  2.096204854035e-10	  8.589302273436e+00	  0.000000000000e+00	  6.464894764441e-05	
  8.000429184937e-05	  2.166525030154e-04	  3.451988813911e-04	  9.636931464263e-04	  9.696397811620e+00	  2.099838038115e-10	  8.595767301922e+00	  0.000000000000e+00	  6.321787026733e-05	
  8.229072420853e-05	  2.391483042130e-04	  2.854416714876e-04	  8.845974725073e-04	  9.712582058867e+00	  2.020420894344e-10	 -4.849828420619e+00	  0.000000000000e+00	  6.321787026733e-05	
  8.139705095442e-05	  2.387014658301e-04	  2.849948326942e-04	  8.845974646631e-04	  9.708982132754e+00	  2.037178377684e-10	 -4.867880707930e+00	  0.000000000000e+00	  6.242606439642e-05	
  8.539860987353e-05	  2.547810690790e-04	  2.339647654676e-04	  8.066934363667e-04	  9.731292875076e+00	  1.932721881030e-10	  8.517985216040e+00	  0.000000000000e+00	  6.242606439642e-05	
  8.702550831157e-05	  2.678002952020e-04	  2.225724433998e-04	  8.066934476006e-04	  9.738114495648e+00	  1.902708747014e-10	  8.517945602523e+00	  3.894363517079e-05	  4.113527994729e-05	
  8.848184122123e-05	  2.556063744704e-04	  1.982326710147e-04	  7.307134219592e-04	  9.748596261097e+00	  1.854793212946e-10	  8.363748651640e+00	  0.000000000000e+00	  4.113527994729e-05	
  8.806116857386e-05	  2.573516696516e-04	  1.960667015874e-04	  7.307134187617e-04	  9.747152925306e+00	  1.860939503987e-10	  8.355326133453e+00	  1.162784173112e-04	  4.467448066104e-06	
  9.059139069407e-05	  2.417042230624e-04	  1.775543503251e-04	  6.573334135084e-04	  9.761155140607e+00	  1.799479278701e-10	  8.527052086956e+00	  0.000000000000e+00	  4.467448066104e-06	
  9.053440344186e-05	  2.416472357281e-04	  1.775543502287e-04	  6.573334131515e-04	  9.760949708327e+00	  1.800326742126e-10	  8.520622397503e+00	  1.241656624732e-04	  0.000000000000e+00	
  9.316627166759e-05	  2.269436874001e-04	  1.598007509255e-04	  5.871554235433e-04	  9.774962202514e+00	  1.740841521337e-10	  8.491302749150e+00	  0.000000000000e+00	  0.000000000000e+00	
  9.310923223694e-05	  2.268866478971e-04	  1.598007508392e-04	  5.871554232261e-04	  9.774762992677e+00	  1.741636190954e-10	  8.506093512145e+00	  1.238646572705e-04	  0.000000000000e+00	
  9.577853051883e-05	  2.133313367067e-04	  1.427942869585e-04	  5.206933249891e-04	  9.788513067129e+00	  1.685140883515e-10	  8.463381364030e+00	  0.000000000000e+00	  0.000000000000e+00	
  9.572411844014e-05	  2.132769245677e-04	  1.427942868853e-04	  5.206933247223e-04	  9.788328922206e+00	  1.685851608917e-10	  8.462467398690e+00	  1.235761792929e-04	  0.000000000000e+00	
  9.838278030175e-05	  2.009478675661e-04	  1.266166690758e-04	  4.583627050162e-04	  9.801620228941e+00	  1.632940571088e-10	  8.350885704715e+00	  0.000000000000e+00	  0.000000000000e+00	
  9.833182680665e-05	  2.008969140220e-04	  1.266166690154e-04	  4.583627047976e-04	  9.801453012793e+00	  1.633565637718e-10	  8.349639773404e+00	  1.233072251633e-04	  0.000000000000e+00	
  1.009507696993e-04	  1.897701072028e-04	  1.114185121066e-04	  4.004749490858e-04	  9.814166680411e+00	  1.584469718555e-10	  8.420993185506e+00	  0.000000000000e+00	  0.000000000000e+00	
  1.009043436925e-04	  1.897236811576e-04	  1.114185120585e-04	  4.004749489128e-04	  9.814018791694e+00	  1.585005826300e-10	  8.420487045379e+00	  1.230624431106e-04	  0.000000000000e+00	
  1.034464352741e-04	  1.797773473627e-04	  9.728723180581e-05	  3.472355977609e-04	  9.826026724921e+00	  1.539952400651e-10	  8.376041635305e+00	  0.000000000000e+00	  0.000000000000e+00	
  1.034053493914e-04	  1.797362614510e-04	  9.728723176883e-05	  3.472355976289e-04	  9.825899516809e+00	  1.540400316904e-10	  8.346968285740e+00	  1.228455733700e-04	  0.000000000000e+00	
  1.058348593789e-04	  1.709285462381e-04	  8.428000574659e-05	  2.987467565721e-04	  9.837094039322e+00	  1.499515354872e-10	  8.446719300275e+00	  0.000000000000e+00	  0.000000000000e+00	
  1.057995330694e-04	  1.708932199074e-04	  8.428000571920e-05	  2.987467564750e-04	  9.836987555674e+00	  1.499880226501e-10	  8.443077439372e+00	  1.226586756975e-04	  0.000000000000e+00	
  1.080855248274e-04	  1.631632706648e-04	  7.242910446594e-05	  2.550131334089e-04	  9.847289402745e+00	  1.463179283597e-10	  8.394599782886e+00	  0.000000000000e+00	  0.000000000000e+00	
  1.080560131548e-04	  1.631337589773e-04	  7.242910444638e-05	  2.550131333400e-04	  9.847202634064e+00	  1.463469213149e-10	  8.397980745177e+00	  1.225020392151e-04	  0.000000000000e+00	
  1.101734674043e-04	  1.564081551258e-04	  6.174112256961e-05	  2.159511137578e-04	  9.856561269075e+00	  1.430874344421e-10	  8.418640667009e+00	  0.000000000000e+00	  0.000000000000e+00	
  1.101495074301e-04	  1.563841951415e-04	  6.174112255614e-05	  2.159511137107e-04	  9.856492413110e+00	  1.431099197864e-10	  8.425287752449e+00	  1.223743791931e-04	  0.000000000000e+00	
  1.120804147968e-04	  1.505814990378e-04	  5.219922566328e-05	  1.814001713055e-04	  9.864885959171e+00	  1.402453327540e-10	  8.374997265623e+00	  0.000000000000e+00	  0.000000000000e+00	
  1.120614997900e-04	  1.505625840244e-04	  5.219922565433e-05	  1.814001712744e-04	  9.864832711783e+00	  1.402623649812e-10	  8.350261911016e+00	  1.222731735946e-04	  0.000000000000e+00	
