#0#0#0#1#100000#0#4.2.13 #########################################
1 1 4
1 1
HEAD, m	
128	9.669775963835000E+00
129	9.646209371906000E+00
130	9.631912352332000E+00
131	9.622475787771000E+00
132	9.613343142617000E+00
133	9.591213261619000E+00
134	9.571747393714000E+00
135	9.563969224602000E+00
136	9.555760466401000E+00
137	9.549249548026000E+00
138	9.541711883520000E+00
139	9.531563924499000E+00
140	9.519326240280000E+00
141	9.508464631604000E+00
142	9.489261789695000E+00
143	9.469965297341000E+00
144	9.452439813707000E+00
145	9.436899128857000E+00
146	9.413767924133000E+00
147	9.387905753410000E+00
148	9.360842686872000E+00
149	9.336113346964000E+00
150	9.302343048265000E+00
151	9.266597165863000E+00
152	9.224932183026000E+00
153	9.200939147238000E+00
154	9.177862416295000E+00
155	9.151963743107000E+00
156	9.122452434024000E+00
157	9.089461228180000E+00
158	9.062756063012000E+00
159	9.042777519652000E+00
160	9.007318379520000E+00
161	8.988778300485000E+00
162	8.961744764597000E+00
163	8.936479101062000E+00
164	8.897592434691000E+00
165	8.858370945135000E+00
166	8.799262809606000E+00
167	8.763097084269000E+00
168	8.710663487161000E+00
169	8.648977592061000E+00
170	8.605650852767000E+00
171	8.574306698907000E+00
172	8.534542181414000E+00
173	8.516395245183000E+00
174	8.488322017817000E+00
175	8.470347977445000E+00
176	8.455435574280000E+00
177	8.442184259323000E+00
178	8.430262820711000E+00
179	8.416589254132000E+00
180	8.403866687329000E+00
181	8.394597298420000E+00
182	8.384615738435000E+00
183	8.372204690162000E+00
184	8.362320352464000E+00
185	8.354369491842000E+00
186	8.349612448500000E+00
187	8.343632622688000E+00
188	8.340459270497000E+00
189	8.338190394082000E+00
190	8.336427793569000E+00
191	8.334341746295000E+00
192	8.331585589218000E+00
193	8.329389590940000E+00
194	8.327771736199000E+00
195	8.325423513787000E+00
196	8.321660740225000E+00
197	8.315228858091000E+00
198	8.306894379430000E+00
199	8.283059163893000E+00
200	8.258761963892000E+00
201	8.234561946555000E+00
202	1.000000000000000E+01
203	9.992517151871000E+00
204	9.986094706155000E+00
205	9.980139922280000E+00
206	9.970979412241000E+00
207	9.963397896509000E+00
208	9.956252029051000E+00
209	9.948387410652000E+00
210	9.940908178088000E+00
211	9.935541180837000E+00
212	9.930562133995000E+00
213	9.924762760573000E+00
214	9.918421166714000E+00
215	9.908345247963000E+00
216	9.892499138974000E+00
217	9.881343514430000E+00
218	9.871837697286000E+00
219	9.863750392677000E+00
220	9.854562583332000E+00
221	9.840468660964000E+00
222	9.828451400491000E+00
223	9.819544668295000E+00
224	9.804367829677000E+00
225	9.774673773850000E+00
226	9.753055248598000E+00
227	9.728797039695000E+00
228	9.701533710308000E+00
229	9.668026832668000E+00
230	9.645100839160000E+00
231	9.630678711526000E+00
232	9.621743865314000E+00
233	9.610341637468000E+00
234	9.591935166730000E+00
235	9.569379295671000E+00
236	9.562285144815000E+00
237	9.555543094754000E+00
238	9.549718559076000E+00
239	9.541321353286000E+00
240	9.529889419244000E+00
241	9.517326606601000E+00
242	9.502849219840000E+00
243	9.484562922359000E+00
244	9.465672348240000E+00
245	9.449286623020000E+00
246	9.431698181211000E+00
247	9.408980302814000E+00
248	9.384380850642000E+00
249	9.363162156794000E+00
250	9.334719693083000E+00
251	9.303488037033000E+00
252	9.270892683698000E+00
253	9.233160537318000E+00
254	9.206189945800000E+00
255	9.179385387087000E+00
256	9.147190713881000E+00
257	9.121593552432000E+00
258	9.094019662473000E+00
259	9.064891049391000E+00
260	9.039276372497000E+00
261	9.008128149513000E+00
262	8.987995368025000E+00
263	8.962871706617000E+00
264	8.926880636825000E+00
265	8.896610088433000E+00
266	8.854844455087000E+00
267	8.807239856180000E+00
268	8.768035468571000E+00
269	8.697040851832000E+00
270	8.644000909971000E+00
271	8.607460287058000E+00
272	8.576004138088000E+00
273	8.543718631631000E+00
274	8.519419813106000E+00
275	8.491578116673000E+00
276	8.472895101856000E+00
277	8.453634947238000E+00
278	8.442428184199000E+00
279	8.431400956762000E+00
280	8.416640337945000E+00
281	8.404347160534000E+00
282	8.394114176123000E+00
283	8.381832146898000E+00
284	8.373464663983000E+00
285	8.363165150960000E+00
286	8.354488722223000E+00
287	8.348917313650000E+00
288	8.343642996927000E+00
