                C(4)	                  Ca	                  Mg	                  Cl	                  pH	                  H+	                  pe	               CO3-2	
  1.306688656581e-04	  1.312228341104e-04	  2.286272839015e-04	  4.583625039345e-04	  9.886613009389e+00	  1.347032338082e-10	  4.000000000000e+00	  3.438404163504e-05	
  1.297263502240e-04	  1.301932038309e-04	  1.997705343222e-04	  4.004747750568e-04	  9.889202489212e+00	  1.337072758066e-10	  4.000000000000e+00	  3.433559180480e-05	
  1.288340290907e-04	  1.292197164457e-04	  1.732320370468e-04	  3.472354479759e-04	  9.891617264444e+00	  1.327792349639e-10	  4.000000000000e+00	  3.428370328915e-05	
  1.279980278933e-04	  1.283099599131e-04	  1.490613826046e-04	  2.987466283970e-04	  9.893845722363e+00	  1.319228439813e-10	  4.000000000000e+00	  3.422940932129e-05	
  1.272225657280e-04	  1.274693376200e-04	  1.272597407394e-04	  2.550130243896e-04	  9.895879378862e+00	  1.311407041100e-10	  4.000000000000e+00	  3.417361993167e-05	
  1.265099377066e-04	  1.267010635414e-04	  1.077843854224e-04	  2.159510216222e-04	  9.897712943466e+00	  1.304342772257e-10	  4.000000000000e+00	  3.411708845719e-05	
  1.258607136929e-04	  1.260062830938e-04	  9.055447803428e-05	  1.814000939610e-04	  9.899344607871e+00	  1.298038098295e-10	  4.000000000000e+00	  3.406043899589e-05	
  1.252746275786e-04	  1.253845673840e-04	  7.545795536757e-05	  1.511357894216e-04	  9.900777752399e+00	  1.292478419379e-10	  4.000000000000e+00	  3.400444937686e-05	
  1.247527382642e-04	  1.248351026114e-04	  6.235940005482e-05	  1.248835278665e-04	  9.902025575613e+00	  1.287618738809e-10	  4.000000000000e+00	  3.395083255454e-05	
  1.242940845794e-04	  1.243552928513e-04	  5.110503800846e-05	  1.023324916118e-04	  9.903102034617e+00	  1.283410565752e-10	  4.000000000000e+00	  3.390082083322e-05	
  1.238960614844e-04	  1.239411764445e-04	  4.152937274794e-05	  8.314897445761e-05	  9.904021636846e+00	  1.279802492012e-10	  4.000000000000e+00	  3.385521075960e-05	
  1.235548494801e-04	  1.235878287716e-04	  3.346135503424e-05	  6.698866768490e-05	  9.904799302592e+00	  1.276740695264e-10	  4.000000000000e+00	  3.381443770164e-05	
  1.232658083915e-04	  1.232897164496e-04	  2.672983816410e-05	  5.350749147084e-05	  9.905450142378e+00	  1.274169813912e-10	  4.000000000000e+00	  3.377864858927e-05	
  1.230238090836e-04	  1.230409961073e-04	  2.116817120030e-05	  4.237071546905e-05	  9.905989141999e+00	  1.272034181909e-10	  4.000000000000e+00	  3.374776434715e-05	
  1.228235131583e-04	  1.228357644746e-04	  1.661787051691e-05	  3.326024268293e-05	  9.906430831833e+00	  1.270279159764e-10	  4.000000000000e+00	  3.372153681230e-05	
  1.226596024660e-04	  1.226682613766e-04	  1.293136553732e-05	  2.588004790876e-05	  9.906788985807e+00	  1.268852387855e-10	  4.000000000000e+00	  3.369960048978e-05	
  1.225269588742e-04	  1.225330264516e-04	  9.973862903200e-06	  1.995985997113e-05	  9.907076376831e+00	  1.267704846064e-10	  4.000000000000e+00	  3.368151803365e-05	
  1.224207966030e-04	  1.224250117486e-04	  7.624411473181e-06	  1.525725224531e-05	  9.907304603521e+00	  1.266791647976e-10	  4.000000000000e+00	  3.366681851967e-05	
  1.223367509510e-04	  1.223396538310e-04	  5.776276342886e-06	  1.155835745161e-05	  9.907483991338e+00	  1.266072543823e-10	  4.000000000000e+00	  3.365502793468e-05	
  1.222709286947e-04	  1.222729104005e-04	  4.336744464267e-06	  8.677451344773e-06	  9.907623562560e+00	  1.265512143611e-10	  4.000000000000e+00	  3.364569188310e-05	
  1.222199264674e-04	  1.222212674329e-04	  3.226488637751e-06	  6.455658209968e-06	  9.907731064052e+00	  1.265079897378e-10	  4.000000000000e+00	  3.363839106960e-05	
  1.221808238627e-04	  1.221817232343e-04	  2.378612416741e-06	  4.759022579540e-06	  9.907813039134e+00	  1.264749883760e-10	  4.000000000000e+00	  3.363275051970e-05	
  1.221511578932e-04	  1.221517557251e-04	  1.737487870288e-06	  3.476170406459e-06	  9.907874929618e+00	  1.264500461890e-10	  4.000000000000e+00	  3.362844372003e-05	
