                C(4)	                  Ca	                  Mg	                  Cl	                  pH	                  H+	                  pe	             Calcite	       Dolomite(dis)	
  7.324364750676e-05	  7.318711407830e-05	  9.760517570578e-04	  1.951977370202e-03	  9.599120373628e+00	  2.675194416096e-10	 -4.613788454293e+00	  2.160064281524e-05	  9.239307237138e-07	
  8.514166013564e-05	  8.514058931295e-05	  9.695242097951e-04	  1.939030906396e-03	  9.650573554842e+00	  2.376528859647e-10	 -4.495557416766e+00	  2.160064281524e-05	  9.239307237138e-07	
  8.663111483928e-05	  8.662946659409e-05	  9.695248012845e-04	  1.939030934530e-03	  9.656349792720e+00	  2.345208199529e-10	 -4.529618121277e+00	  3.647958535120e-05	  1.028968718922e-06	
  9.678248054647e-05	  9.685315412230e-05	  9.616290751878e-04	  1.923381667399e-03	  9.693783480112e+00	  2.151569830707e-10	  8.380028491368e+00	  3.647958535120e-05	  1.028968718922e-06	
  9.809416629620e-05	  9.816641941345e-05	  9.616275073380e-04	  1.923381690782e-03	  9.698185516142e+00	  2.129934072873e-10	  8.300429323530e+00	  4.976432551393e-05	  1.116706778803e-06	
  1.066014080506e-04	  1.067612025400e-04	  9.521861127790e-04	  1.904671400805e-03	  9.726225225583e+00	  1.996642166337e-10	 -4.868151187055e+00	  4.976432551393e-05	  1.116706778803e-06	
  1.077365813330e-04	  1.079003771082e-04	  9.521821211289e-04	  1.904671420076e-03	  9.729639993207e+00	  1.981054770128e-10	 -4.878631823992e+00	  6.140714327520e-05	  1.183527889559e-06	
  1.147848462812e-04	  1.150485602437e-04	  9.410189204719e-04	  1.882542195078e-03	  9.751184497409e+00	  1.884914496645e-10	  8.477494611778e+00	  6.140714327520e-05	  1.183527889559e-06	
  1.157528282060e-04	  1.160230399567e-04	  9.410124305585e-04	  1.882542210827e-03	  9.753861786305e+00	  1.873370860876e-10	  8.467687367338e+00	  7.145552226226e-05	  1.227577632807e-06	
  1.215206487543e-04	  1.218994522854e-04	  9.279581367865e-04	  1.856648127046e-03	  9.770739335640e+00	  1.801571006089e-10	 -4.978918012311e+00	  7.145552226226e-05	  1.227577632807e-06	
  1.223357584189e-04	  1.227234654997e-04	  9.279492396201e-04	  1.856648139812e-03	  9.772852198415e+00	  1.792860331414e-10	 -4.983566948002e+00	  8.001978306583e-05	  1.248709612121e-06	
  1.269841587064e-04	  1.274849529877e-04	  9.128476027321e-04	  1.826668403798e-03	  9.786274687906e+00	  1.737776796491e-10	  8.448272567221e+00	  8.001978306583e-05	  1.248709612121e-06	
  1.276634128229e-04	  1.281752984287e-04	  9.128365165429e-04	  1.826668414068e-03	  9.787949356352e+00	  1.731115238333e-10	  8.443098359038e+00	  8.724601008826e-05	  1.248161763694e-06	
  1.313439838849e-04	  1.319691602873e-04	  8.955510341576e-04	  1.792321503986e-03	  9.798777959491e+00	  1.687840959272e-10	  8.349282476252e+00	  8.724601008826e-05	  1.248161763694e-06	
  1.319052056424e-04	  1.325433606044e-04	  8.955380597006e-04	  1.792321512191e-03	  9.800109366355e+00	  1.682695991911e-10	  8.355278334429e+00	  9.329511505200e-05	  1.228161477629e-06	
  1.347590526699e-04	  1.355065768874e-04	  8.759589716251e-04	  1.753379724749e-03	  9.808981959451e+00	  1.647898981798e-10	 -4.647649232328e+00	  9.329511505200e-05	  1.228161477629e-06	
  1.352195154708e-04	  1.359815630880e-04	  8.759444514820e-04	  1.753379731262e-03	  9.810042792349e+00	  1.643896058991e-10	 -4.632666189509e+00	  9.832803437695e-05	  1.191428330998e-06	
  1.373725493650e-04	  1.382362820378e-04	  8.539956704947e-04	  1.709683431767e-03	  9.817438593875e+00	  1.615246163390e-10	  8.388790601260e+00	  9.832803437695e-05	  1.191428330998e-06	
  1.377481887637e-04	  1.386276360148e-04	  8.539799584852e-04	  1.709683436905e-03	  9.818285232953e+00	  1.612114508692e-10	  8.383549226055e+00	  1.024964246106e-04	  1.140927400303e-06	
  1.393097234411e-04	  1.402799024268e-04	  8.296255293921e-04	  1.661154236414e-03	  9.824567852889e+00	  1.587944945474e-10	  7.960507120828e+00	  1.024964246106e-04	  1.140927400303e-06	
  1.396147588078e-04	  1.406014992877e-04	  8.296089699129e-04	  1.661154240444e-03	  9.825244457084e+00	  1.585484430316e-10	 -4.266129351593e+00	  1.059376159621e-04	  1.079605158279e-06	
  1.406784516081e-04	  1.417422747351e-04	  8.028586416017e-04	  1.607806296627e-03	  9.830692367282e+00	  1.564580048401e-10	 -4.389496380337e+00	  1.059376159621e-04	  1.079605158279e-06	
  1.409252666260e-04	  1.420061760754e-04	  8.028415568508e-04	  1.607806299770e-03	  9.831233763473e+00	  1.562640178142e-10	 -4.549687896854e+00	  1.087725007473e-04	  1.010238762288e-06	
  1.415707969039e-04	  1.427130566929e-04	  7.737550684328e-04	  1.549754965121e-03	  9.836061394469e+00	  1.544103477347e-10	 -5.003314514062e+00	  1.087725007473e-04	  1.010238762288e-06	
  1.417699789175e-04	  1.429295569157e-04	  7.737377514431e-04	  1.549754967560e-03	  9.836495180459e+00	  1.542569559505e-10	 -5.002564680170e+00	  1.111053040273e-04	  9.353920354223e-07	
  1.420648834478e-04	  1.432686177291e-04	  7.424274761950e-04	  1.487222093248e-03	  9.840867627541e+00	  1.525733929124e-10	  8.365269447130e+00	  1.111053040273e-04	  9.353920354223e-07	
  1.422253545440e-04	  1.434463780721e-04	  7.424101878900e-04	  1.487222095132e-03	  9.841215744070e+00	  1.524517653016e-10	  8.375644073823e+00	  1.130244765982e-04	  8.572386379353e-07	
  1.422268513822e-04	  1.434739841969e-04	  7.090418509969e-04	  1.420537439975e-03	  9.845259324576e+00	  1.508889173269e-10	  8.421886541937e+00	  1.130244765982e-04	  8.572386379353e-07	
  1.423560448646e-04	  1.436202096007e-04	  7.090248197998e-04	  1.420537441423e-03	  9.845539253761e+00	  1.507922005503e-10	  8.416906103414e+00	  1.146041726459e-04	  7.776945877087e-07	
  1.421127574834e-04	  1.433847122678e-04	  6.738161040856e-04	  1.350135826713e-03	  9.849349332273e+00	  1.493138932792e-10	 -4.524782158909e+00	  1.146041726459e-04	  7.776945877087e-07	
  1.422168089668e-04	  1.435053414013e-04	  6.737995269904e-04	  1.350135827823e-03	  9.849575023220e+00	  1.492367376119e-10	 -4.412180030596e+00	  1.159059707146e-04	  6.984180145376e-07	
  1.417703189207e-04	  1.430485910456e-04	  6.370164979897e-04	  1.276549908654e-03	  9.853221959516e+00	  1.478170983848e-10	  8.471464996589e+00	  1.159059707146e-04	  6.984180145376e-07	
  1.418542533264e-04	  1.431484815152e-04	  6.370005423497e-04	  1.276549909502e-03	  9.853404549623e+00	  1.477553106129e-10	  8.471264913801e+00	  1.169806260739e-04	  6.207481499814e-07	
