                C(4)	                  Ca	                  Mg	                  Cl	                  pH	                  H+	                  pe	             Calcite	               CO3-2	
  1.619086246923e-07	  9.737418747444e-08	  9.999816467908e-04	  1.999834012476e-03	  7.243114943943e+00	  6.038482162369e-08	 -3.628773718095e+00	  0.000000000000e+00	  1.399926743952e-10	
  1.619081876515e-07	  9.737418747444e-08	  9.999816467908e-04	  1.999834012476e-03	  7.243115481659e+00	  6.038474685899e-08	 -3.619582520452e+00	  0.000000000000e+00	  1.399924881400e-10	
  2.825708489123e-07	  1.687100338890e-07	  9.999753901445e-04	  1.999722839326e-03	  7.402335697276e+00	  4.185115735650e-08	 -3.793108217973e+00	  0.000000000000e+00	  3.642554088727e-10	
  2.825702780449e-07	  1.687100338890e-07	  9.999753901445e-04	  1.999722839326e-03	  7.402336259362e+00	  4.185110319058e-08	 -3.781199424855e+00	  0.000000000000e+00	  3.642551795544e-10	
  4.790580547223e-07	  2.837318366646e-07	  9.999724813848e-04	  1.999554083734e-03	  7.587607468301e+00	  2.731722088341e-08	 -3.980889256146e+00	  0.000000000000e+00	  9.708694585268e-10	
  4.790573969213e-07	  2.837318366646e-07	  9.999724813848e-04	  1.999554083734e-03	  7.587607935604e+00	  2.731719148994e-08	 -3.967267070817e+00	  0.000000000000e+00	  9.708692202765e-10	
  7.950335885199e-07	  4.667616036966e-07	  9.999801257731e-04	  1.999303474447e-03	  7.785219806956e+00	  1.733107972098e-08	 -4.179074133672e+00	  0.000000000000e+00	  2.583283557658e-09	
  7.950328877935e-07	  4.667616036965e-07	  9.999801257731e-04	  1.999303474447e-03	  7.785220142390e+00	  1.733106633499e-08	 -4.164589948483e+00	  0.000000000000e+00	  2.583283331728e-09	
  1.298080621002e-06	  7.549619899918e-07	  1.000012492829e-03	  1.998938510705e-03	  7.986106038082e+00	  1.091294293830e-08	 -4.379742055234e+00	  0.000000000000e+00	  6.760808895849e-09	
  1.298079902674e-06	  7.549619899918e-07	  1.000012492829e-03	  1.998938510705e-03	  7.986106262167e+00	  1.091293730748e-08	 -4.364818328122e+00	  0.000000000000e+00	  6.760808687297e-09	
  2.092971600772e-06	  1.205214809622e-06	  1.000096066400e-03	  1.998416378816e-03	  8.185934486149e+00	  6.888389140793e-09	 -3.250541973591e+00	  0.000000000000e+00	  1.732047995704e-08	
  2.092971600772e-06	  1.205214809622e-06	  1.000096066400e-03	  1.998416378816e-03	  8.185934486149e+00	  6.888389140794e-09	 -3.238135511746e+00	  0.000000000000e+00	  1.732047995703e-08	
  3.342873605011e-06	  1.905011648623e-06	  1.000278770843e-03	  1.997681576353e-03	  8.382996561051e+00	  4.375852864565e-09	 -4.769993909666e+00	  0.000000000000e+00	  4.343194229610e-08	
  3.342872939875e-06	  1.905011648623e-06	  1.000278770843e-03	  1.997681576353e-03	  8.382996646877e+00	  4.375851999789e-09	 -4.755783473798e+00	  0.000000000000e+00	  4.343194213137e-08	
  5.300180005636e-06	  2.988204453193e-06	  1.000643735771e-03	  1.996663279297e-03	  8.576405845690e+00	  2.803272012388e-09	 -4.755281794842e+00	  0.000000000000e+00	  1.065827299593e-07	
  5.300179987157e-06	  2.988204453193e-06	  1.000643735771e-03	  1.996663279297e-03	  8.576405847228e+00	  2.803272002460e-09	 -4.754292242180e+00	  0.000000000000e+00	  1.065827299550e-07	
  8.343282558574e-06	  4.653771924093e-06	  1.001325889409e-03	  1.995272518144e-03	  8.764871580130e+00	  1.816430735708e-09	 -4.761676863657e+00	  0.000000000000e+00	  2.549848223883e-07	
  8.343282557911e-06	  4.653771924093e-06	  1.001325889409e-03	  1.995272518144e-03	  8.764871580166e+00	  1.816430735558e-09	 -4.761885599215e+00	  0.000000000000e+00	  2.549848223882e-07	
  1.301880234095e-05	  7.187358587396e-06	  1.002531194906e-03	  1.993399264904e-03	  8.946501877335e+00	  1.195692577373e-09	 -5.270219893595e+00	  0.000000000000e+00	  5.902236805252e-07	
  1.301880209988e-05	  7.187358587396e-06	  1.002531194906e-03	  1.993399264904e-03	  8.946501885952e+00	  1.195692553647e-09	 -5.263447546924e+00	  0.000000000000e+00	  5.902236804810e-07	
  2.014732258622e-05	  1.101459981775e-05	  1.004587626447e-03	  1.990909572392e-03	  9.120312539570e+00	  8.014156159335e-10	 -5.260759255719e+00	  0.000000000000e+00	  1.316865979497e-06	
